2623;;;;-74;;;;;;;;;;;;;;;;;;;;;;
2624;identity;fid-coap-option-oscore-flags;;-75;;;;;;;;;;;;;;;;;;;;;;
2625;identity;fid-coap-option-oscore-kid;;-76;;;;;;;;;;;;;;;;;;;;;;
2626;identity;fid-coap-option-oscore-kidctx;;-77;;;;;;;;;;;;;;;;;;;;;;
2627;identity;fid-coap-option-oscore-piv;RFC8824bis;-78;;;;;;;;;;;;;;;;;;;;;;
2628;;;;-79;;;;;;;;;;;;;;;;;;;;;;
2629;identity;mo-rev-rule-match;ICMPv6;-80;;;;;;;;;;;;;;;;;;;;;;
2630;identity;mo-rule-match;ICMPv6;-81;;;;;;;;;;;;;;;;;;;;;;
2631;identity;cda-compress-sent;ICMPv6;-82;;;;;;;;;;;;;;;;;;;;;;
2632;identity;cda-rev-compress-sent;ICMPv6;-83;;;;;;;;;;;;;;;;;;;;;;
2633;;;;-84;;;;;;;;;;;;;;;;;;;;;;
2634;;;;-85;;;;;;;;;;;;;;;;;;;;;;
2635;identity;fid-icmpv6-type;;-86;;;;;;;;;;;;;;;;;;;;;;
2636;identity;fid-icmpv6-code;;-87;;;;;;;;;;;;;;;;;;;;;;
2637;identity;fid-icmpv6-checksum;;-88;;;;;;;;;;;;;;;;;;;;;;
2638;identity;fid-icmpv6-identifier;;-89;;;;;;;;;;;;;;;;;;;;;;
2639;identity;fid-icmpv6-mtu;;-90;;;;;;;;;;;;;;;;;;;;;;
2640;identity;fid-icmpv6-pointer;;-91;;;;;;;;;;;;;;;;;;;;;;
2641;identity;fid-icmpv6-sequence;;-92;;;;;;;;;;;;;;;;;;;;;;
2642;identity;fid-icmpv6-payload;;-93;;;;;;;;;;;;;;;;;;;;;;
2643;;;;-94;;;;;;;;;;;;;;;;;;;;;;
2644;;;;-95;;;;;;;;;;;;;;;;;;;;;;
2645;;;;-96;;;;;;;;;;;;;;;;;;;;;;
2646;;;;-97;;;;;;;;;;;;;;;;;;;;;;
2647;;;;-98;;;;;;;;;;;;;;;;;;;;;;
2648;;;;-99;;;;;;;;;;;;;;;;;;;;;;
2649;;;;-100;;;;;;;;;;;;;;;;;;;;;;
2650;identity;cda-appiid;;-101;;;;;;;;;;;;;;;;;;;;;;
2651;;;;-102;;;;;;;;;;;;;;;;;;;;;;
2652;identity;cda-deviid;;-103;;;;;;;;;;;;;;;;;;;;;;
2653;;;;-104;;;;;;;;;;;;;;;;;;;;;;
2654;identity;fragmentation-mode-no-ack;;-105;;;;;;;;;;;;;;;;;;;;;;
2655;identity;fragmentation-mode-ack-always;;-106;;;;;;;;;;;;;;;;;;;;;;
2656;identity;fragmentation-mode-ack-on-error;;-107;;;;;;;;;;;;;;;;;;;;;;
2657;;;;-108;;;;;;;;;;;;;;;;;;;;;;
2658;identity;ack-behavior-after-all-0;;-109;;;;;;;;;;;;;;;;;;;;;;
2659;identity;ack-behavior-after-all-1;;-110;;;;;;;;;;;;;;;;;;;;;;
2660;identity;ack-behavior-by-layer2;;-111;;;;;;;;;;;;;;;;;;;;;;
2661;;;;-112;;;;;;;;;;;;;;;;;;;;;;
2662;;;;-113;;;;;;;;;;;;;;;;;;;;;;
2663;identity;rcs-crc32;;-114;;;;;;;;;;;;;;;;;;;;;;
2664;;;;-115;;;;;;;;;;;;;;;;;;;;;;
2665;;;;-116;;;;;;;;;;;;;;;;;;;;;;
2666;;;;-117;;;;;;;;;;;;;;;;;;;;;;
2667;;;;-118;;;;;;;;;;;;;;;;;;;;;;
2668;identity;all-1-data-no;;-119;;;;;;;;;;;;;;;;;;;;;;
2669;identity;all-1-data-sender-choice;;-120;;;;;;;;;;;;;;;;;;;;;;
2670;identity;all-1-data-yes;;-121;;;;;;;;;;;;;;;;;;;;;;
2671;;;;-122;;;;;;;;;;;;;;;;;;;;;;
2672;;;;-123;;;;;;;;;;;;;;;;;;;;;;
2673;identity;bitmap-RFC8724;;-124;;;;;;;;;;;;;;;;;;;;;;
